127.0.0.1 - - [19/May/2023:09:32:18 +0900] "GET / HTTP/1.1" 200 44945
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET / HTTP/1.1" 200 44920
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/animal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/codingC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/report.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/giftA.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/coding.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/eater.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/computerB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/travelA.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/music.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/communication.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/health.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/playC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/readingB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/childB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/codingE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/excel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/english.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/pilat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/artB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /front/lesson/animal.png HTTP/1.1" 200 142699
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /message_chk_on HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1441
0:0:0:0:0:0:0:1 - - [19/May/2023:09:32:32 +0900] "GET /front/message.css HTTP/1.1" 200 12916
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:17 +0900] "GET /loginBtn HTTP/1.1" 200 25415
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:17 +0900] "GET /front/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:17 +0900] "GET /front/userJoinMobile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:17 +0900] "GET /message_chk_on HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:24 +0900] "GET / HTTP/1.1" 200 44888
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:24 +0900] "GET /front/lesson/codingC.png HTTP/1.1" 200 502634
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:24 +0900] "GET /front/lesson/travelA.png HTTP/1.1" 200 128655
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:24 +0900] "GET /front/lesson/report.png HTTP/1.1" 200 469466
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:24 +0900] "GET /front/lesson/music.png HTTP/1.1" 200 209213
0:0:0:0:0:0:0:1 - - [19/May/2023:09:34:24 +0900] "GET /front/lesson/childB.png HTTP/1.1" 200 541368
